name,product url,price,sku,imgUrl,company
Pro Brush- A22 Pointed Cheek Brush,http://www.anastasiabeverlyhills.com/pro-brush--a22-pointed-cheek-brush/ABH01-28622.html?cgid=holiday-2017,$ 3 0,ABH01-28622,http://www.anastasiabeverlyhills.com/dw/image/v2/BBLL_PRD/on/demandware.static/-/Sites-anastasia-master-catalog/default/dw7ce22ea0/images/products/BRUSHES/Pro Brushes/A22/A22.jpg?sw=1350&sh=1000&sm=fit,anastasiabeverlyhills
Sugar Glow Kit,http://www.anastasiabeverlyhills.com/sugar-glow-kit/ABH01-18164.html?cgid=holiday-2017,$ 4 0,ABH01-18164,http://www.anastasiabeverlyhills.com/dw/image/v2/BBLL_PRD/on/demandware.static/-/Sites-anastasia-master-catalog/default/dw55f3fa14/images/products/Holiday 2017/abh-sugar-glow-kit-a.jpg?sw=1350&sh=1000&sm=fit,anastasiabeverlyhills
Brush A23,http://www.anastasiabeverlyhills.com/brush-a23/ABH01-28623.html?cgid=holiday-2017,$ 2 5,ABH01-28623,http://www.anastasiabeverlyhills.com/dw/image/v2/BBLL_PRD/on/demandware.static/-/Sites-anastasia-master-catalog/default/dw5309487e/images/2017 New Logo/BRUSHES/ABH01-28623-brush-A23/2000 x 2000/abh-brush-A23.jpg?sw=1350&sh=1000&sm=fit,anastasiabeverlyhills
Holiday Blush Kits,http://www.anastasiabeverlyhills.com/holiday-blush-kits/holiday-blush-kits.html?cgid=holiday-2017,$ 3 0,holiday-blush-kits,http://www.anastasiabeverlyhills.com/dw/image/v2/BBLL_PRD/on/demandware.static/-/Sites-anastasia-master-catalog/default/dwa7062f76/images/products/Holiday 2017/abh-blush kit-radiant-a.jpg?sw=1350&sh=1000&sm=fit,anastasiabeverlyhills
Pro Brush- A19 Blush Brush,http://www.anastasiabeverlyhills.com/pro-brush--a19-blush-brush/ABH01-28619.html?cgid=holiday-2017,$ 2 6,ABH01-28619,http://www.anastasiabeverlyhills.com/dw/image/v2/BBLL_PRD/on/demandware.static/-/Sites-anastasia-master-catalog/default/dw567f0078/images/products/BRUSHES/Pro Brushes/A19/A19.jpg?sw=1350&sh=1000&sm=fit,anastasiabeverlyhills
Liquid Glow,http://www.anastasiabeverlyhills.com/liquid-glow/liquid-glow.html?cgid=holiday-2017,$ 2 5,liquid-glow,http://www.anastasiabeverlyhills.com/dw/image/v2/BBLL_PRD/on/demandware.static/-/Sites-anastasia-master-catalog/default/dw886d8ab9/images/products/Fall 2017/Liquid Glow/ABH01-36524-perla/2000x2000/abh-perla-liquid glow-a.jpg?sw=1350&sh=1000&sm=fit,anastasiabeverlyhills
Pro Brush- A30 Domed Kabuki Brush,http://www.anastasiabeverlyhills.com/pro-brush--a30-domed-kabuki-brush/ABH01-28630.html?cgid=holiday-2017,$ 2 4,ABH01-28630,http://www.anastasiabeverlyhills.com/dw/image/v2/BBLL_PRD/on/demandware.static/-/Sites-anastasia-master-catalog/default/dw2116b436/images/products/BRUSHES/Pro Brushes/A30/A30.jpg?sw=1350&sh=1000&sm=fit,anastasiabeverlyhills
DIPBROW® Pomade,http://www.anastasiabeverlyhills.com/dipbrow-pomade-waterproof-color-brow-sculpt/dipbrow-pomade.html?cgid=holiday-2017,$ 1 8,dipbrow-pomade,http://www.anastasiabeverlyhills.com/dw/image/v2/BBLL_PRD/on/demandware.static/-/Sites-anastasia-master-catalog/default/dw231ab3a8/images/products/BROWS/Dipbrow/Dipbrow-Medium-Brown/dipbrow-medium-brown.jpg?sw=1350&sh=1000&sm=fit,anastasiabeverlyhills
Brush 7B,http://www.anastasiabeverlyhills.com/brush-7-b/ABH01-28016.html?cgid=holiday-2017,$ 1 8,ABH01-28016,http://www.anastasiabeverlyhills.com/dw/image/v2/BBLL_PRD/on/demandware.static/-/Sites-anastasia-master-catalog/default/dw8713b348/images/2017 New Logo/BRUSHES/ABH01-28016-brush-7B/2000 x 2000/abh-brush-7B.jpg?sw=1350&sh=1000&sm=fit,anastasiabeverlyhills
Tinted Brow Gel,http://www.anastasiabeverlyhills.com/tinted-brow-gel/tinted-brow-gel.html?cgid=holiday-2017,$ 2 2,tinted-brow-gel,http://www.anastasiabeverlyhills.com/dw/image/v2/BBLL_PRD/on/demandware.static/-/Sites-anastasia-master-catalog/default/dw8e25ed1a/images/2017 New Logo/BROWS/Tinted Brow Gel/ABH01-01006-granite/2000 x 2000/abh-granite-tinted-brow-gel-open.jpg?sw=1350&sh=1000&sm=fit,anastasiabeverlyhills
Liquid Lipstick - 3pc Set Mini,http://www.anastasiabeverlyhills.com/liquid-lipstick---3pc-set-mini/ABH01-32198.html?cgid=holiday-2017,$ 2 5,ABH01-32198,http://www.anastasiabeverlyhills.com/dw/image/v2/BBLL_PRD/on/demandware.static/-/Sites-anastasia-master-catalog/default/dw4be498a2/images/products/Holiday 2017/abh-mini liquid lipstick set-a_rev.jpg?sw=1350&sh=1000&sm=fit,anastasiabeverlyhills
Brow Pro Palette,http://www.anastasiabeverlyhills.com/brow-pro-palette/ABH01-84012.html?cgid=holiday-2017,$ 8 8,ABH01-84012,http://www.anastasiabeverlyhills.com/dw/image/v2/BBLL_PRD/on/demandware.static/-/Sites-anastasia-master-catalog/default/dw453ab03b/images/2017 New Logo/BROWS/Brow Pro Palette/ABH01-84012-brow-pro-palette/abh-brow-pro-palette.jpg?sw=1350&sh=1000&sm=fit,anastasiabeverlyhills
Stick Foundation,http://www.anastasiabeverlyhills.com/stick-foundation/stick-foundation.html?cgid=holiday-2017,$ 2 5,stick-foundation,http://www.anastasiabeverlyhills.com/dw/image/v2/BBLL_PRD/on/demandware.static/-/Sites-anastasia-master-catalog/default/dw355714b3/images/products/FACE/Stick Foundation/CAP OFF/Stick Foundation Cap OFF_0014_warm natural.jpg?sw=1350&sh=1000&sm=fit,anastasiabeverlyhills
Concealer,http://www.anastasiabeverlyhills.com/concealer-full-coverage-mask-correct/concealer.html?cgid=holiday-2017,$ 2 0,concealer,http://www.anastasiabeverlyhills.com/dw/image/v2/BBLL_PRD/on/demandware.static/-/Sites-anastasia-master-catalog/default/dw1e83a709/images/products/FACE/Concealers/ABH01-13041 concealer 1.5/1.5-concealer-jar.jpg?sw=1350&sh=1000&sm=fit,anastasiabeverlyhills
Pro Brush- A2 Precise Concealer Brush,http://www.anastasiabeverlyhills.com/pro-brush--a2-precise-concealer-brush/ABH01-28602.html?cgid=holiday-2017,$ 1 8,ABH01-28602,http://www.anastasiabeverlyhills.com/dw/image/v2/BBLL_PRD/on/demandware.static/-/Sites-anastasia-master-catalog/default/dwfe7111eb/images/products/BRUSHES/Pro Brushes/A2/A2.jpg?sw=1350&sh=1000&sm=fit,anastasiabeverlyhills
Moonchild Glow Kit,http://www.anastasiabeverlyhills.com/glow-kit-moonchild/ABH01-18159.html?cgid=holiday-2017,$ 4 0,ABH01-18159,http://www.anastasiabeverlyhills.com/dw/image/v2/BBLL_PRD/on/demandware.static/-/Sites-anastasia-master-catalog/default/dweb7a9b2a/images/products/FACE/Glow Kits/Moonchild/glow-kit-moonchild.jpg?sw=1350&sh=1000&sm=fit,anastasiabeverlyhills
Brow Wiz®,http://www.anastasiabeverlyhills.com/brow-wiz/brow-wiz.html?cgid=holiday-2017,$ 2 1,brow-wiz,http://www.anastasiabeverlyhills.com/dw/image/v2/BBLL_PRD/on/demandware.static/-/Sites-anastasia-master-catalog/default/dw5ff96acd/images/2017 New Logo/BROWS/Brow Wiz/ABH01-86003-dark-brown/2000 x 2000/abh-dark-brown-brow-wiz.jpg?sw=1350&sh=1000&sm=fit,anastasiabeverlyhills
