name,product url,price,name,imgUrl,company
Melt Pro Pencil Book,https://www.meltcosmetics.com/collections/new/products/melt-pro-pencil-book,$45.00,Melt Pro Pencil Book,cdn.shopify.com/s/files/1/0224/6859/products/LinerBookOpen_WebImage_grande.jpg,meltcosmetics
Mellon Collie + Hex,https://www.meltcosmetics.com/collections/new/products/mellon-collie-hex,$33.00,Mellon Collie + Hex,cdn.shopify.com/s/files/1/0224/6859/products/LiquidLipstick_Liner_MellonCollie_Hex_grande.jpg,meltcosmetics
Necessary Noods,https://www.meltcosmetics.com/collections/new/products/necessary-noods,$43.00,Necessary Noods,cdn.shopify.com/s/files/1/0224/6859/products/4LIPLINERSet_PinkPouch_grande.jpg,meltcosmetics
PurrLiquid Set Lipstick,https://www.meltcosmetics.com/collections/new/products/purr,$19.00,PurrLiquid Set Lipstick,cdn.shopify.com/s/files/1/0224/6859/products/Lips_16_C_Purr-19-Rev-2_grande.jpg,meltcosmetics
Mellon CollieLiquid Set Lipstick,https://www.meltcosmetics.com/collections/new/products/mellon-collie,$19.00,Mellon CollieLiquid Set Lipstick,cdn.shopify.com/s/files/1/0224/6859/products/Lips_12_D_Mellon_Collie-10-Rev-4_grande.jpg,meltcosmetics
MyaLiquid Set Lipstick,https://www.meltcosmetics.com/collections/new/products/mya,$19.00,MyaLiquid Set Lipstick,cdn.shopify.com/s/files/1/0224/6859/products/Lips_19_C_MYA-2_rev_3_grande.jpg,meltcosmetics
HexAllDay/Everyday Lip Liner,https://www.meltcosmetics.com/collections/new/products/hex,$17.00,HexAllDay/Everyday Lip Liner,cdn.shopify.com/s/files/1/0224/6859/products/LIPLINER_CloseUp_Hex_grande.jpg,meltcosmetics
FoxyAllDay/Everyday Lip Liner,https://www.meltcosmetics.com/collections/new/products/foxy,$17.00,FoxyAllDay/Everyday Lip Liner,cdn.shopify.com/s/files/1/0224/6859/products/LIPLINER_CloseUp_Foxy_grande.jpg,meltcosmetics
French KissAllDay/Everyday Lip Liner,https://www.meltcosmetics.com/collections/new/products/french-kiss,$17.00,French KissAllDay/Everyday Lip Liner,cdn.shopify.com/s/files/1/0224/6859/products/LIPLINER_CloseUp_FrenchKiss_grande.jpg,meltcosmetics
Love NoteAllDay/Everyday Lip Liner,https://www.meltcosmetics.com/collections/new/products/love-note,$17.00,Love NoteAllDay/Everyday Lip Liner,cdn.shopify.com/s/files/1/0224/6859/products/LIPLINER_CloseUp_LoveNote_grande.jpg,meltcosmetics
ModestAllDay/Everyday Lip Liner,https://www.meltcosmetics.com/collections/new/products/modest,$17.00,ModestAllDay/Everyday Lip Liner,cdn.shopify.com/s/files/1/0224/6859/products/LIPLINER_CloseUp_Modest_grande.jpg,meltcosmetics
Mellon Collie Pin,https://www.meltcosmetics.com/collections/new/products/mellon-collie-pin,$5.00,Mellon Collie Pin,cdn.shopify.com/s/files/1/0224/6859/products/MellonColliePin_Web_grande.jpg,meltcosmetics
Melt Pro Pencil Book,https://www.meltcosmetics.com/collections/gift-ideas/products/melt-pro-pencil-book,$45.00,Melt Pro Pencil Book,cdn.shopify.com/s/files/1/0224/6859/products/LinerBookOpen_WebImage_grande.jpg,meltcosmetics
Necessary Noods,https://www.meltcosmetics.com/collections/gift-ideas/products/necessary-noods,$43.00,Necessary Noods,cdn.shopify.com/s/files/1/0224/6859/products/4LIPLINERSet_PinkPouch_grande.jpg,meltcosmetics
Hot Box Collection,https://www.meltcosmetics.com/collections/gift-ideas/products/hot-box-collection,$200.00,Hot Box Collection,cdn.shopify.com/s/files/1/0224/6859/products/HotBoxCollection_ALL_WebThumbnail_A_8_grande.jpg,meltcosmetics
Mellon Collie + Hex,https://www.meltcosmetics.com/collections/gift-ideas/products/mellon-collie-hex,$33.00,Mellon Collie + Hex,cdn.shopify.com/s/files/1/0224/6859/products/LiquidLipstick_Liner_MellonCollie_Hex_grande.jpg,meltcosmetics
Death Cherry + Ambrosia,https://www.meltcosmetics.com/collections/gift-ideas/products/death-cherry-ambrosia,$33.00,Death Cherry + Ambrosia,cdn.shopify.com/s/files/1/0224/6859/products/L2MLinerProductShot_DeathCherryAmbrosia_grande.jpg,meltcosmetics
Poser + Blindfold,https://www.meltcosmetics.com/collections/gift-ideas/products/poser-blindfold,$33.00,Poser + Blindfold,cdn.shopify.com/s/files/1/0224/6859/products/L2MLinerProductShot_Poser_Blindfold_grande.jpg,meltcosmetics
Chick Habit + 1979,https://www.meltcosmetics.com/collections/gift-ideas/products/chick-habit-1979,$33.00,Chick Habit + 1979,cdn.shopify.com/s/files/1/0224/6859/products/L2MLinerProductShot_ChickHabit1979_grande.jpg,meltcosmetics
ROC + Ecstacy,https://www.meltcosmetics.com/collections/gift-ideas/products/roc-ecstacy,$33.00,ROC + Ecstacy,cdn.shopify.com/s/files/1/0224/6859/products/L2MLinerProductShot_ROC_Ecstasy_grande.jpg,meltcosmetics
Janice + Nudist,https://www.meltcosmetics.com/collections/gift-ideas/products/janice-nudist,$33.00,Janice + Nudist,cdn.shopify.com/s/files/1/0224/6859/products/L2MLinerProductShot_JaniceNudist_grande.jpg,meltcosmetics
Mota + Latex,https://www.meltcosmetics.com/collections/gift-ideas/products/mota-latex,$33.00,Mota + Latex,cdn.shopify.com/s/files/1/0224/6859/products/LipstickLinerSet_Mota_latex_grande.jpg,meltcosmetics
710 + Edible,https://www.meltcosmetics.com/collections/gift-ideas/products/710-edible,$33.00,710 + Edible,cdn.shopify.com/s/files/1/0224/6859/products/LipstickLinerSet_710_Edible_grande.jpg,meltcosmetics
Spiced Rum Set,https://www.meltcosmetics.com/collections/gift-ideas/products/spiced-rum-set,$38.00,Spiced Rum Set,cdn.shopify.com/s/files/1/0224/6859/products/Liners_PouchSet_Corrupt_grande.jpg,meltcosmetics
Gilded Set,https://www.meltcosmetics.com/collections/gift-ideas/products/gilded-set,$38.00,Gilded Set,cdn.shopify.com/s/files/1/0224/6859/products/Liners_PouchSet_Roselense_grande.jpg,meltcosmetics
Lucid Set,https://www.meltcosmetics.com/collections/gift-ideas/products/lucid-set,$38.00,Lucid Set,cdn.shopify.com/s/files/1/0224/6859/products/Liners_PouchSet_Neptune_grande.jpg,meltcosmetics
Impulse Set,https://www.meltcosmetics.com/collections/gift-ideas/products/impulse-set,$38.00,Impulse Set,cdn.shopify.com/s/files/1/0224/6859/products/Liners_PouchSet_Cinder_grande.jpg,meltcosmetics
Essentials Liner SetAllDay/Everyday Eye Liner,https://www.meltcosmetics.com/collections/gift-ideas/products/essentials-liner-set,$43.00,Essentials Liner SetAllDay/Everyday Eye Liner,cdn.shopify.com/s/files/1/0224/6859/products/BasicLiners_Pouch_WebThumbnail_62c48eef-b0ea-490b-b7f3-b06bc184c341_grande.jpg,meltcosmetics
Gift Card,https://www.meltcosmetics.com/collections/gift-ideas/products/gift-card,$10.00,Gift Card,cdn.shopify.com/s/files/1/0224/6859/products/melt_e-card1_grande.png,meltcosmetics
Mellon Collie + Hex,https://www.meltcosmetics.com/collections/liquid-lipsticks/products/mellon-collie-hex,$33.00,Mellon Collie + Hex,cdn.shopify.com/s/files/1/0224/6859/products/LiquidLipstick_Liner_MellonCollie_Hex_grande.jpg,meltcosmetics
Death Cherry + Ambrosia,https://www.meltcosmetics.com/collections/liquid-lipsticks/products/death-cherry-ambrosia,$33.00,Death Cherry + Ambrosia,cdn.shopify.com/s/files/1/0224/6859/products/L2MLinerProductShot_DeathCherryAmbrosia_grande.jpg,meltcosmetics
ROC + Ecstacy,https://www.meltcosmetics.com/collections/liquid-lipsticks/products/roc-ecstacy,$33.00,ROC + Ecstacy,cdn.shopify.com/s/files/1/0224/6859/products/L2MLinerProductShot_ROC_Ecstasy_grande.jpg,meltcosmetics
Poser + Blindfold,https://www.meltcosmetics.com/collections/liquid-lipsticks/products/poser-blindfold,$33.00,Poser + Blindfold,cdn.shopify.com/s/files/1/0224/6859/products/L2MLinerProductShot_Poser_Blindfold_grande.jpg,meltcosmetics
Janice + Nudist,https://www.meltcosmetics.com/collections/liquid-lipsticks/products/janice-nudist,$33.00,Janice + Nudist,cdn.shopify.com/s/files/1/0224/6859/products/L2MLinerProductShot_JaniceNudist_grande.jpg,meltcosmetics
Chick Habit + 1979,https://www.meltcosmetics.com/collections/liquid-lipsticks/products/chick-habit-1979,$33.00,Chick Habit + 1979,cdn.shopify.com/s/files/1/0224/6859/products/L2MLinerProductShot_ChickHabit1979_grande.jpg,meltcosmetics
PurrLiquid Set Lipstick,https://www.meltcosmetics.com/collections/liquid-lipsticks/products/purr,$19.00,PurrLiquid Set Lipstick,cdn.shopify.com/s/files/1/0224/6859/products/Lips_16_C_Purr-19-Rev-2_grande.jpg,meltcosmetics
Mellon CollieLiquid Set Lipstick,https://www.meltcosmetics.com/collections/liquid-lipsticks/products/mellon-collie,$19.00,Mellon CollieLiquid Set Lipstick,cdn.shopify.com/s/files/1/0224/6859/products/Lips_12_D_Mellon_Collie-10-Rev-4_grande.jpg,meltcosmetics
MyaLiquid Set Lipstick,https://www.meltcosmetics.com/collections/liquid-lipsticks/products/mya,$19.00,MyaLiquid Set Lipstick,cdn.shopify.com/s/files/1/0224/6859/products/Lips_19_C_MYA-2_rev_3_grande.jpg,meltcosmetics
PoserLiquid Set Lipstick,https://www.meltcosmetics.com/collections/liquid-lipsticks/products/poser,$19.00,PoserLiquid Set Lipstick,cdn.shopify.com/s/files/1/0224/6859/products/Lips_18_L_Poser-17_rev_1_grande.jpg,meltcosmetics
